%
%
% Run:002   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev   
%       [s]           [m]      
%
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
    600.00500        0.0857 
    600.00500        0.0445 
    600.00500        0.0233 
    600.00500        0.0127 
    600.00500        0.0078 
    600.00500        0.0063 
   1200.00500        0.1736 
   1200.00500        0.1503 
   1200.00500        0.1115 
   1200.00500        0.0796 
   1200.00500        0.0603 
   1200.00500        0.0539 
   1800.00500        0.2578 
   1800.00500        0.2430 
   1800.00500        0.2359 
   1800.00500        0.2194 
   1800.00500        0.2030 
   1800.00500        0.1964 
   2400.00488        0.3427 
   2400.00488        0.3483 
   2400.00488        0.3578 
   2400.00488        0.3798 
   2400.00488        0.3976 
   2400.00488        0.4041 
   3000.00488        0.4232 
   3000.00488        0.4659 
   3000.00488        0.4975 
   3000.00488        0.5191 
   3000.00488        0.5388 
   3000.00488        0.5473 
   3600.00488        0.5013 
   3600.00488        0.5382 
   3600.00488        0.5772 
   3600.00488        0.5978 
   3600.00488        0.5980 
   3600.00488        0.5953 
   4200.00488        0.5735 
   4200.00488        0.5803 
   4200.00488        0.5765 
   4200.00488        0.5859 
   4200.00488        0.6000 
   4200.00488        0.6057 
   4800.00488        0.6421 
   4800.00488        0.6105 
   4800.00488        0.5954 
   4800.00488        0.5779 
   4800.00488        0.5711 
   4800.00488        0.5714 
   5400.00488        0.7064 
   5400.00488        0.6816 
   5400.00488        0.6484 
   5400.00488        0.6230 
   5400.00488        0.5933 
   5400.00488        0.5786 
   6000.00488        0.7657 
   6000.00488        0.7483 
   6000.00488        0.7318 
   6000.00488        0.7131 
   6000.00488        0.7124 
   6000.00488        0.7152 
   6600.00488        0.8191 
   6600.00488        0.8238 
   6600.00488        0.8375 
   6600.00488        0.8587 
   6600.00488        0.8692 
   6600.00488        0.8732 
   7200.00488        0.8673 
   7200.00488        0.9135 
   7200.00488        0.9469 
   7200.00488        0.9686 
   7200.00488        0.9802 
   7200.00488        0.9806 
   7800.00488        0.9072 
   7800.00488        0.9461 
   7800.00488        0.9798 
   7800.00488        0.9972 
   7800.00488        1.0113 
   7800.00488        1.0209 
   8400.00488        0.9397 
   8400.00488        0.9385 
   8400.00488        0.9418 
   8400.00488        0.9614 
   8400.00488        0.9702 
   8400.00488        0.9689 
   9000.00488        0.9653 
   9000.00488        0.9456 
   9000.00488        0.9285 
   9000.00488        0.9022 
   9000.00488        0.8920 
   9000.00488        0.8914 
   9600.00488        0.9843 
   9600.00488        0.9587 
   9600.00488        0.9253 
   9600.00488        0.9009 
   9600.00488        0.8769 
   9600.00488        0.8684 
  10200.00488        0.9954 
  10200.00488        0.9702 
  10200.00488        0.9592 
  10200.00488        0.9527 
  10200.00488        0.9527 
  10200.00488        0.9494 
  10800.00488        1.0006 
  10800.00488        1.0194 
  10800.00488        1.0301 
  10800.00488        1.0392 
  10800.00488        1.0480 
  10800.00488        1.0576 
  11400.00488        0.9972 
  11400.00488        1.0398 
  11400.00488        1.0760 
  11400.00488        1.1010 
  11400.00488        1.1097 
  11400.00488        1.1055 
  12000.00488        0.9856 
  12000.00488        1.0151 
  12000.00488        1.0456 
  12000.00488        1.0690 
  12000.00488        1.0880 
  12000.00488        1.0991 
  12600.00488        0.9660 
  12600.00488        0.9703 
  12600.00488        0.9709 
  12600.00488        0.9784 
  12600.00488        0.9854 
  12600.00488        0.9878 
  13200.00488        0.9393 
  13200.00488        0.9192 
  13200.00488        0.9034 
  13200.00488        0.8823 
  13200.00488        0.8639 
  13200.00488        0.8540 
  13800.00488        0.9055 
  13800.00488        0.8756 
  13800.00488        0.8446 
  13800.00488        0.8221 
  13800.00488        0.8089 
  13800.00488        0.8095 
  14400.00488        0.8657 
  14400.00488        0.8481 
  14400.00488        0.8353 
  14400.00488        0.8293 
  14400.00488        0.8299 
  14400.00488        0.8252 
  15000.00488        0.8195 
  15000.00488        0.8387 
  15000.00488        0.8564 
  15000.00488        0.8660 
  15000.00488        0.8651 
  15000.00488        0.8687 
  15600.00488        0.7673 
  15600.00488        0.8068 
  15600.00488        0.8355 
  15600.00488        0.8573 
  15600.00488        0.8759 
  15600.00488        0.8795 
  16200.00488        0.7075 
  16200.00488        0.7308 
  16200.00488        0.7584 
  16200.00488        0.7846 
  16200.00488        0.8003 
  16200.00488        0.8069 
  16800.00586        0.6431 
  16800.00586        0.6485 
  16800.00586        0.6524 
  16800.00586        0.6523 
  16800.00586        0.6515 
  16800.00586        0.6519 
  17400.00586        0.5730 
  17400.00586        0.5558 
  17400.00586        0.5331 
  17400.00586        0.5143 
  17400.00586        0.5036 
  17400.00586        0.4973 
  18000.00586        0.4992 
  18000.00586        0.4630 
  18000.00586        0.4405 
  18000.00586        0.4243 
  18000.00586        0.4112 
  18000.00586        0.4104 
  18600.00586        0.4223 
  18600.00586        0.4131 
  18600.00586        0.3980 
  18600.00586        0.3869 
  18600.00586        0.3845 
  18600.00586        0.3799 
  19200.00586        0.3426 
  19200.00586        0.3588 
  19200.00586        0.3729 
  19200.00586        0.3807 
  19200.00586        0.3804 
  19200.00586        0.3834 
  19800.00586        0.2594 
  19800.00586        0.2869 
  19800.00586        0.3155 
  19800.00586        0.3393 
  19800.00586        0.3567 
  19800.00586        0.3602 
  20400.00586        0.1745 
  20400.00586        0.2013 
  20400.00586        0.2212 
  20400.00586        0.2409 
  20400.00586        0.2555 
  20400.00586        0.2619 
  21000.00586        0.0871 
  21000.00586        0.0925 
  21000.00586        0.1001 
  21000.00586        0.0995 
